,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.23409505067630015,0.013673914494218946,17.11982700895715,1.0558865055150682e-65,0.20729467073995078,0.2608954306126495
C(team_id)[T.T2],-0.003341975197164603,0.015929730394462015,-0.20979483735182633,0.8338278025975518,-0.03456367305374318,0.027879722659413977
C(team_id)[T.T3],0.001204180057970185,0.016353000634765996,0.07363664228142533,0.9412995139481884,-0.03084711222533181,0.03325547234127218
C(team_id)[T.T4],0.030350297034323633,0.015780446845635652,1.923285020456662,0.05444426477775199,-0.000578810443070947,0.06127940451171821
C(team_id)[T.T5],0.010028802200698945,0.015804245041914113,0.6345638259911667,0.5257129271230194,-0.020946948884298433,0.04100455328569632
C(team_id)[T.T6],-0.005896640465567512,0.01591945157246351,-0.3704047491037417,0.7110809357909729,-0.03709819220122552,0.025304911270090494
AI_first,-0.03711636578128169,0.015392475240170985,-2.4113318489813853,0.015894379156591174,-0.06728506288494134,-0.006947668677622042
Human_first,0.036957645528756,0.016205687579750657,2.2805354815636054,0.02257594889103921,0.005195081527736636,0.06872020952977537
accountability,0.01808734979670644,0.017174041937249928,1.053179552186581,0.2922587081750433,-0.015573153869283915,0.051747853462696794
AI_first:accountability,0.03028190665519647,0.02161235037682622,1.4011389842941913,0.16117251586809989,-0.01207752170464358,0.07264133501503653
Human_first:accountability,0.019582113944623412,0.02389414985152044,0.8195359142847828,0.412480720112785,-0.02724955920555973,0.06641378709480655
